Code,Name,FK_Month
19441106,1944-1945 November 06                ,1944194505
19441107,1944-1945 November 07                ,1944194505
19441108,1944-1945 November 08                ,1944194505
19441109,1944-1945 November 09                ,1944194505
19441110,1944-1945 November 10                ,1944194505
19441111,1944-1945 November 11                ,1944194505
19441112,1944-1945 November 12                ,1944194505
19441113,1944-1945 November 13                ,1944194505
19441114,1944-1945 November 14                ,1944194505
19441115,1944-1945 November 15                ,1944194505
19441116,1944-1945 November 16                ,1944194505
19441117,1944-1945 November 17                ,1944194505
19441118,1944-1945 November 18                ,1944194505
19441119,1944-1945 November 19                ,1944194505
19441120,1944-1945 November 20                ,1944194505
19441121,1944-1945 November 21                ,1944194505
19441122,1944-1945 November 22                ,1944194505
19441123,1944-1945 November 23                ,1944194505
19441124,1944-1945 November 24                ,1944194505
19441125,1944-1945 November 25                ,1944194505
19441126,1944-1945 November 26                ,1944194505
19441127,1944-1945 November 27                ,1944194505
19441128,1944-1945 November 28                ,1944194505
19441129,1944-1945 November 29                ,1944194505
19441130,1944-1945 November 30                ,1944194505
19441201,1944-1945 December 01                ,1944194506
19441202,1944-1945 December 02                ,1944194506
19441203,1944-1945 December 03                ,1944194506
19441204,1944-1945 December 04                ,1944194506
19441205,1944-1945 December 05                ,1944194506
19441206,1944-1945 December 06                ,1944194506
19441207,1944-1945 December 07                ,1944194506
19441208,1944-1945 December 08                ,1944194506
19441209,1944-1945 December 09                ,1944194506
19441210,1944-1945 December 10                ,1944194506
19441211,1944-1945 December 11                ,1944194506
19441212,1944-1945 December 12                ,1944194506
19441213,1944-1945 December 13                ,1944194506
19441214,1944-1945 December 14                ,1944194506
19441215,1944-1945 December 15                ,1944194506
19441216,1944-1945 December 16                ,1944194506
19441217,1944-1945 December 17                ,1944194506
19441218,1944-1945 December 18                ,1944194506
19441219,1944-1945 December 19                ,1944194506
19441220,1944-1945 December 20                ,1944194506
19441221,1944-1945 December 21                ,1944194506
19441222,1944-1945 December 22                ,1944194506
19441223,1944-1945 December 23                ,1944194506
19441224,1944-1945 December 24                ,1944194506
19441225,1944-1945 December 25                ,1944194506
19441226,1944-1945 December 26                ,1944194506
19441227,1944-1945 December 27                ,1944194506
19441228,1944-1945 December 28                ,1944194506
19441229,1944-1945 December 29                ,1944194506
19441230,1944-1945 December 30                ,1944194506
19441231,1944-1945 December 31                ,1944194506
19450101,1944-1945 January 01                 ,1944194507
19450102,1944-1945 January 02                 ,1944194507
19450103,1944-1945 January 03                 ,1944194507
19450104,1944-1945 January 04                 ,1944194507
19450105,1944-1945 January 05                 ,1944194507
19450106,1944-1945 January 06                 ,1944194507
19450107,1944-1945 January 07                 ,1944194507
19450108,1944-1945 January 08                 ,1944194507
19450109,1944-1945 January 09                 ,1944194507
19450110,1944-1945 January 10                 ,1944194507
19450111,1944-1945 January 11                 ,1944194507
19450112,1944-1945 January 12                 ,1944194507
19450113,1944-1945 January 13                 ,1944194507
19450114,1944-1945 January 14                 ,1944194507
19450115,1944-1945 January 15                 ,1944194507
19450116,1944-1945 January 16                 ,1944194507
19450117,1944-1945 January 17                 ,1944194507
19450118,1944-1945 January 18                 ,1944194507
19450119,1944-1945 January 19                 ,1944194507
19450120,1944-1945 January 20                 ,1944194507
19450121,1944-1945 January 21                 ,1944194507
19450122,1944-1945 January 22                 ,1944194507
19450123,1944-1945 January 23                 ,1944194507
19450124,1944-1945 January 24                 ,1944194507
19450125,1944-1945 January 25                 ,1944194507
19450126,1944-1945 January 26                 ,1944194507
19450127,1944-1945 January 27                 ,1944194507
19450128,1944-1945 January 28                 ,1944194507
19450129,1944-1945 January 29                 ,1944194507
19450130,1944-1945 January 30                 ,1944194507
19450131,1944-1945 January 31                 ,1944194507
19450201,1944-1945 February 01                ,1944194508
19450202,1944-1945 February 02                ,1944194508
19450203,1944-1945 February 03                ,1944194508
19450204,1944-1945 February 04                ,1944194508
19450205,1944-1945 February 05                ,1944194508
19450206,1944-1945 February 06                ,1944194508
19450207,1944-1945 February 07                ,1944194508
19450208,1944-1945 February 08                ,1944194508
19450209,1944-1945 February 09                ,1944194508
19450210,1944-1945 February 10                ,1944194508
19450211,1944-1945 February 11                ,1944194508
19450212,1944-1945 February 12                ,1944194508
19450213,1944-1945 February 13                ,1944194508
19450214,1944-1945 February 14                ,1944194508
19450215,1944-1945 February 15                ,1944194508
19450216,1944-1945 February 16                ,1944194508
19450217,1944-1945 February 17                ,1944194508
