Code,Name,FK_Quarter
1959196008,1959-1960 February,195919603
1959196009,1959-1960 March,195919603
1959196010,1959-1960 April,195919604
1959196011,1959-1960 May,195919604
1959196012,1959-1960 June,195919604
1960196101,1960-1961 July,196019611
1960196102,1960-1961 August,196019611
1960196103,1960-1961 September,196019611
1960196104,1960-1961 October,196019612
1960196105,1960-1961 November,196019612
1960196106,1960-1961 December,196019612
1960196107,1960-1961 January,196019613
1960196108,1960-1961 February,196019613
1960196109,1960-1961 March,196019613
1960196110,1960-1961 April,196019614
1960196111,1960-1961 May,196019614
1960196112,1960-1961 June,196019614
1961196201,1961-1962 July,196119621
1961196202,1961-1962 August,196119621
1961196203,1961-1962 September,196119621
1961196204,1961-1962 October,196119622
1961196205,1961-1962 November,196119622
1961196206,1961-1962 December,196119622
1961196207,1961-1962 January,196119623
1961196208,1961-1962 February,196119623
1961196209,1961-1962 March,196119623
1961196210,1961-1962 April,196119624
1961196211,1961-1962 May,196119624
1961196212,1961-1962 June,196119624
1962196301,1962-1963 July,196219631
1962196302,1962-1963 August,196219631
1962196303,1962-1963 September,196219631
1962196304,1962-1963 October,196219632
1962196305,1962-1963 November,196219632
1962196306,1962-1963 December,196219632
1962196307,1962-1963 January,196219633
1962196308,1962-1963 February,196219633
1962196309,1962-1963 March,196219633
1962196310,1962-1963 April,196219634
1962196311,1962-1963 May,196219634
1962196312,1962-1963 June,196219634
1963196401,1963-1964 July,196319641
1963196402,1963-1964 August,196319641
1963196403,1963-1964 September,196319641
1963196404,1963-1964 October,196319642
1963196405,1963-1964 November,196319642
1963196406,1963-1964 December,196319642
1963196407,1963-1964 January,196319643
1963196408,1963-1964 February,196319643
1963196409,1963-1964 March,196319643
1963196410,1963-1964 April,196319644
1963196411,1963-1964 May,196319644
1963196412,1963-1964 June,196319644
1964196501,1964-1965 July,196419651
1964196502,1964-1965 August,196419651
1964196503,1964-1965 September,196419651
1964196504,1964-1965 October,196419652
1964196505,1964-1965 November,196419652
1964196506,1964-1965 December,196419652
1964196507,1964-1965 January,196419653
1964196508,1964-1965 February,196419653
1964196509,1964-1965 March,196419653
1964196510,1964-1965 April,196419654
1964196511,1964-1965 May,196419654
1964196512,1964-1965 June,196419654
1965196601,1965-1966 July,196519661
1965196602,1965-1966 August,196519661
1965196603,1965-1966 September,196519661
1965196604,1965-1966 October,196519662
1965196605,1965-1966 November,196519662
1965196606,1965-1966 December,196519662
1965196607,1965-1966 January,196519663
1965196608,1965-1966 February,196519663
1965196609,1965-1966 March,196519663
1965196610,1965-1966 April,196519664
1965196611,1965-1966 May,196519664
1965196612,1965-1966 June,196519664
1966196701,1966-1967 July,196619671
1966196702,1966-1967 August,196619671
1966196703,1966-1967 September,196619671
1966196704,1966-1967 October,196619672
1966196705,1966-1967 November,196619672
1966196706,1966-1967 December,196619672
1966196707,1966-1967 January,196619673
1966196708,1966-1967 February,196619673
1966196709,1966-1967 March,196619673
1966196710,1966-1967 April,196619674
1966196711,1966-1967 May,196619674
1966196712,1966-1967 June,196619674
1967196801,1967-1968 July,196719681
1967196802,1967-1968 August,196719681
1967196803,1967-1968 September,196719681
1967196804,1967-1968 October,196719682
1967196805,1967-1968 November,196719682
1967196806,1967-1968 December,196719682
1967196807,1967-1968 January,196719683
1967196808,1967-1968 February,196719683
1967196809,1967-1968 March,196719683
1967196810,1967-1968 April,196719684
1967196811,1967-1968 May,196719684
1967196812,1967-1968 June,196719684
1968196901,1968-1969 July,196819691
1968196902,1968-1969 August,196819691
1968196903,1968-1969 September,196819691
1968196904,1968-1969 October,196819692
1968196905,1968-1969 November,196819692
1968196906,1968-1969 December,196819692
1968196907,1968-1969 January,196819693
1968196908,1968-1969 February,196819693
1968196909,1968-1969 March,196819693
1968196910,1968-1969 April,196819694
1968196911,1968-1969 May,196819694
1968196912,1968-1969 June,196819694
1969197001,1969-1970 July,196919701
1969197002,1969-1970 August,196919701
1969197003,1969-1970 September,196919701
1969197004,1969-1970 October,196919702
1969197005,1969-1970 November,196919702
1969197006,1969-1970 December,196919702
1969197007,1969-1970 January,196919703
1969197008,1969-1970 February,196919703
1969197009,1969-1970 March,196919703
1969197010,1969-1970 April,196919704
1969197011,1969-1970 May,196919704
1969197012,1969-1970 June,196919704
1970197101,1970-1971 July,197019711
